,댓글,예측,실제
4,ㅇㄱㄹㅇ 피해자 유족들에 대한 정신적 보호와 베르테르 효과 등의 모방적인 결과를 방지하기 위해 실제 동영상이 있어도 안트는건 당연한 조치임사실 저런 인간들은 뭘 해도 박근혜 탓을 하며 까댈 인간들이라어차피 저런 자료실재할 경우를 공중파에서 틀어주면 유족들을 두 번 죽이는 짓이라고 까댔을 거임,0,1
10,존나 비교되네,1,0
16,박찬호 왜빼냐 십쉐야,0,1
19,아빠곰 애기곰 같은 하늘 ㅋㅋ,1,0
24,근데 존나 웃기긴하다ㅋㅋㅋㅋㅋㅋ요즘 여기저기 커뮤에 부정선거글만 올라오면 틀무새 존나 바글거림ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지들이 트럼프 부정선거에 뭐 찔리는게 있나 존나 하나하나 일일이 발작ㅋㅋ,1,0
47,ㅅㅂ ㄹㅇ 양이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
55,홧김에저렇게까지 때렸다고애가안죽은게정말감사할따름이다 너같은건진짜지옥불구덩이에떨어져야해,0,1
70,로또일등으로 서울 쩌리동네 아파트한채밖에 못산다 게이야 ㅜㅜ,0,1
77,아니 아무도 저방에 안들어가겠다면 가뜩이나 보지 종특인 정치질과 편가르기 왕따시키기가 심해질거란 생각 안드냐,0,1
97,아직도 원숭이 잔재가 있네,0,1
98,정부가 멍청해 벌금 10만원 너무 싼티나고 100만원으로 올려라 비싼티 좀 나게,1,0
106,나 한남동사는데 마포 7억 5천짜리 링크 가져와바라 아파트 주소랑 시팔쌔기냐 어케 3배기 쳐오르냐 구라 ㄴㄴ,1,0
115,흑인도 타고나면 하얀 뼛가루만 남음,1,0
140,얼마나 부귀 영화 누리 겠다고 사람을 죽이노 ㅋㅋㅋㅋㅋ결국 지인생이 좆되는걸 모르니 어휴 한심한 살인자,1,0
142,10대 여자 고기가 그렇게 비싸게 거래된다던뎅,0,1
148,그게 중국이 제대로 된 사회주의라는 개소리의 근거가 돼,0,1
169,정신나간인간 정신나간 더불어 공산당,1,0
185,뭔 또 개같은 논리일까,0,1
189,난 왜 아직 안웃기지아직 진성일게이가 안된건가,0,1
197,이거 ㄹㅇ 곤란 한게반격 안하면 좁밥 되는 상황이라는거야프랑스 교사 참수 당하자무슬림 여성 3킬로 보복 그리고다시 프랑스인 3명 사망에 그중 2명 참수ㄹㅇ 토박이 프랑스인이 반격 못하면 프랑스는 무슬림한테 정권 까지 내줘야 할거야,0,1
202,30년전이면 윗게이 말대로 한보 대우 삼미처럼 주식은 리스크있고 집이나 땅만 사놨어도 똑같애 ㅄ아,1,0
214,맞은놈은 두다리 뻣고 자도때린놈은 불안에 떨며 잔다,1,0
217,원래 인간은 개만도 못한 버러지들이 대부분임,0,1
221,애비가 사기횡령으로 공부하고 잘먹고 잘산 강용석은ㅋㅋㅋ,0,1
228,돼지라고 다 같은 돼지가 아니야 좀 부지런한 돼지 한정,0,1
237,조선족이 행동력이 강해서 제일 문제라고 본다,0,1
245,저거 우리나라에서도 저럼 ㅋㅋ건물들어갈 때 입구에서 코로나 명부 펜으로 작성하고 있는데펜으로 쓰고 있는 중에도 어떤 아지매 내 펜 뺏어갈라함 ㅋㅋ어이가 없어서 조용히 저먼저 쓸게요 하니까 아 죄송합니다 이러더라내가 볼땐 심성이 나쁜 거 보다도 그냥 교양없고 미개한거임,0,1
248,오지랍도 오지랍도 ㅉㅉ,1,0
250,야 시바 예전에 긍정어쩌고 하는 여자교수도 자살했다 여자 자존감이라는게그냥 허영심채우고 애기르고 이쁘다 해줄때 올라가는거지 저런 말하는사람이 제일 위험함,0,1
253,시발 그럴거면 기부한다고 하지를 말던가 왜 전부를 내걸고 희망품은 가족들한테 지옥같은 결말을 주지 아가하늘에서는 너가 하고 싶었던 모든걸 하고 다 이루길 바래 그리고 부모님 지켜줘,1,0
255,와 여자가 존나 많네,1,0
260,뒤늦게 재평가하면 뭐하노 정치짤야짤올릴시간에 관심도 안준 녀석들이,1,0
267,빙그레라면 맛있었는데 맛보면 이라면 매운콩라면존나 맛있었고 컵라면 캡틴도 존나 쩔어줬음,1,0
305,돈많은연예인이 불따는왜하노 결제하고보지 당췌모르겟노,1,0
330,아 소방관도 경찰도 존나 힘드신가보네요 그럼 다른 일 하시는건 어때요 왜 하고 있는건가요,0,1
359,적화통일은 착착 진행되고 있슴메,1,0
362,편안한 추석보내세요,1,0
372,근데 저게 무슨 의미야 폭탄이 터지면 어떻게 되는데 조국은 그냥 심지 찌끄레기구나 그러니까 타서 죽겠네 이제,0,1
376,대가리가 깨져서 좌표 잃었냐,0,1
394,문재인 더불어민주당 전체의원들 장관들 청와대 비서진들은 북한김정은이 한국에 사과를 했다고 믿는 바보인가 북한 김정은의 호구인가 그렇다면 살인자가 문재인 더불어민주당전체의원들 장관들 청와대비서진들의 친가 외가이종사촌의 친척들 사돈의 팔촌들까지 모조리 멸족시키고 문재인 더불어 민주당 전체의원들 장관들 청와대비서진들 당사자들에게 통보를 하면 사과를 했다고 받아드린다는건가,0,1
396,이정도면 대통령급 아니냐 ㅅㅂ,0,1
411,짤 와 시발 합성기술 좆돼노 ㅋㅋㅋㅋ노이머나이트,1,0
412,존나 목소리 나이 많아보인다40대 넘었냐,0,1
416,재앙 스타일 유행이노,0,1
419,이젠 폭스도 좆족만드네 ㅋㅋㅋ,1,0
434,너같은게 대통령이라니,0,1
439,미국에서 틀럭시 쓰면 치욕받음,0,1
441,판스프링 사고할 때 판스프링은서스펜션에서 떨어져나온 판스프링일 확률은 희박하고저런식으로 불법적으로 차 옆에 꽂아서 지지대로 쓰다가 좃되는게 대부분이다이기애초에 서스펜션 목적으로 만들었기 때문에 지나가던 차가 밟으면 통통튀듯이 솟아오르고옆이나 맞은편차선에서 다른차가 지나가다 걸리면 작살나는거지,1,0
461,세월호에 탄 아이들 엄마들이 안산이여서 그랬지 강남이였으면 그냥 조용히 추모하고 끝났을 사건이지,0,1
466,콧소리 지렸다 ㅋㅋ,0,1
472,ㅋㅋㅋㅋ 존나웃기네 일베하나 저 여규생 드립력 ㅆㅅㅌㅊ,0,1
